"event_id","season_type","retrieve_date","date","time","day_of_week","home_team","away_team","new_listings","avg_price","lowest_price","highest_price","ticket_count","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income"
6103921,"Regular Season",2024-04-29,2024-06-29,"1:15 PM","Sat","st-louis-cardinals","cincinnati-reds",1500,107,14,1317,7766,"St. Louis Cardinals","sln","STL","Cardinals",138,13,15,0.464,"L 1",3.6,4.4,-0.8,0.1,-0.7,"11-17",2,"5-4","0-3","6-7","2-1","5-7","8-8","1-3","2-4","9-12","4-3","4-9","9-6","4-6","9-11","13-15",2365,1114,908,50,59215,397,331,243,50,17411
6104241,"Regular Season",2024-04-29,2024-07-02,"7:05 PM","Tue","texas-rangers","san-diego-padres",500,136,31,1270,2741,"Texas Rangers","tex","TEX","Rangers",140,15,14,0.517,"W 1",4.6,4.3,0.2,-0.1,0.2,"15-14",0,"2-1","3-1","5-8","5-4","8-8","7-6","1-0","5-3","12-10","3-4","9-7","6-7","5-5","9-11","15-14",21701,10326,6736,1566,45224,1523,979,1294,435,3852
6104244,"Regular Season",2024-04-29,2024-07-03,"7:05 PM","Wed","texas-rangers","san-diego-padres",507,153,28,1270,2495,"Texas Rangers","tex","TEX","Rangers",140,15,14,0.517,"W 1",4.6,4.3,0.2,-0.1,0.2,"15-14",0,"2-1","3-1","5-8","5-4","8-8","7-6","1-0","5-3","12-10","3-4","9-7","6-7","5-5","9-11","15-14",21701,10326,6736,1566,45224,1523,979,1294,435,3852
6104246,"Regular Season",2024-04-29,2024-07-04,"1:35 PM","Thu","texas-rangers","san-diego-padres",651,153,39,1154,3191,"Texas Rangers","tex","TEX","Rangers",140,15,14,0.517,"W 1",4.6,4.3,0.2,-0.1,0.2,"15-14",0,"2-1","3-1","5-8","5-4","8-8","7-6","1-0","5-3","12-10","3-4","9-7","6-7","5-5","9-11","15-14",21701,10326,6736,1566,45224,1523,979,1294,435,3852
6104247,"Regular Season",2024-04-29,2024-07-05,"7:05 PM","Fri","texas-rangers","tampa-bay-rays",633,128,26,1154,3631,"Texas Rangers","tex","TEX","Rangers",140,15,14,0.517,"W 1",4.6,4.3,0.2,-0.1,0.2,"15-14",0,"2-1","3-1","5-8","5-4","8-8","7-6","1-0","5-3","12-10","3-4","9-7","6-7","5-5","9-11","15-14",21701,10326,6736,1566,45224,1523,979,1294,435,3852
6104557,"Regular Season",2024-04-29,2024-07-01,"6:45 PM","Mon","washington-nationals","new-york-mets",402,112,23,864,2565,"Washington Nationals","was","WSH","Nationals",120,13,14,0.481,"W 3",4.1,4.4,-0.4,-0.1,-0.5,"12-15",1,"4-2","2-4","4-5","3-3","4-8","9-6","1-1","3-4","9-9","4-5","4-8","9-6","6-4","11-9","13-14",34535,22741,8291,586,141280,1463,1080,1091,408,8230
6104558,"Regular Season",2024-04-29,2024-07-02,"6:45 PM","Tue","washington-nationals","new-york-mets",548,108,17,764,4588,"Washington Nationals","was","WSH","Nationals",120,13,14,0.481,"W 3",4.1,4.4,-0.4,-0.1,-0.5,"12-15",1,"4-2","2-4","4-5","3-3","4-8","9-6","1-1","3-4","9-9","4-5","4-8","9-6","6-4","11-9","13-14",34535,22741,8291,586,141280,1463,1080,1091,408,8230
6104562,"Regular Season",2024-04-29,2024-07-03,"6:45 PM","Wed","washington-nationals","new-york-mets",395,95,22,472,2288,"Washington Nationals","was","WSH","Nationals",120,13,14,0.481,"W 3",4.1,4.4,-0.4,-0.1,-0.5,"12-15",1,"4-2","2-4","4-5","3-3","4-8","9-6","1-1","3-4","9-9","4-5","4-8","9-6","6-4","11-9","13-14",34535,22741,8291,586,141280,1463,1080,1091,408,8230
6104563,"Regular Season",2024-04-29,2024-07-04,"11:05 AM","Thu","washington-nationals","new-york-mets",619,129,26,881,4206,"Washington Nationals","was","WSH","Nationals",120,13,14,0.481,"W 3",4.1,4.4,-0.4,-0.1,-0.5,"12-15",1,"4-2","2-4","4-5","3-3","4-8","9-6","1-1","3-4","9-9","4-5","4-8","9-6","6-4","11-9","13-14",34535,22741,8291,586,141280,1463,1080,1091,408,8230
6104567,"Regular Season",2024-04-29,2024-07-05,"6:45 PM","Fri","washington-nationals","st-louis-cardinals",645,126,16,864,4486,"Washington Nationals","was","WSH","Nationals",120,13,14,0.481,"W 3",4.1,4.4,-0.4,-0.1,-0.5,"12-15",1,"4-2","2-4","4-5","3-3","4-8","9-6","1-1","3-4","9-9","4-5","4-8","9-6","6-4","11-9","13-14",34535,22741,8291,586,141280,1463,1080,1091,408,8230
6100129,"Regular Season",2024-04-29,2024-07-09,"6:40 PM","Tue","arizona-diamondbacks","atlanta-braves",383,82,28,518,2251,"Arizona Diamondbacks","ari","AZ","D-backs",109,13,16,0.448,"W 1",5.3,4.3,1,-0.5,0.5,"17-12",-4,"0-3","4-5","7-4","2-4","7-6","6-10","1-3","3-4","8-8","5-8","3-9","10-7","4-6","9-11","13-16",9071,5974,611,368,59913,1104,738,292,199,8347
6100131,"Regular Season",2024-04-29,2024-07-10,"6:40 PM","Wed","arizona-diamondbacks","atlanta-braves",309,81,24,518,1725,"Arizona Diamondbacks","ari","AZ","D-backs",109,13,16,0.448,"W 1",5.3,4.3,1,-0.5,0.5,"17-12",-4,"0-3","4-5","7-4","2-4","7-6","6-10","1-3","3-4","8-8","5-8","3-9","10-7","4-6","9-11","13-16",9071,5974,611,368,59913,1104,738,292,199,8347
6100133,"Regular Season",2024-04-29,2024-07-08,"6:40 PM","Mon","arizona-diamondbacks","atlanta-braves",273,83,28,479,1457,"Arizona Diamondbacks","ari","AZ","D-backs",109,13,16,0.448,"W 1",5.3,4.3,1,-0.5,0.5,"17-12",-4,"0-3","4-5","7-4","2-4","7-6","6-10","1-3","3-4","8-8","5-8","3-9","10-7","4-6","9-11","13-16",9071,5974,611,368,59913,1104,738,292,199,8347
6100134,"Regular Season",2024-04-29,2024-07-11,"6:40 PM","Thu","arizona-diamondbacks","atlanta-braves",268,86,24,518,1448,"Arizona Diamondbacks","ari","AZ","D-backs",109,13,16,0.448,"W 1",5.3,4.3,1,-0.5,0.5,"17-12",-4,"0-3","4-5","7-4","2-4","7-6","6-10","1-3","3-4","8-8","5-8","3-9","10-7","4-6","9-11","13-16",9071,5974,611,368,59913,1104,738,292,199,8347
6100136,"Regular Season",2024-04-29,2024-07-12,"6:40 PM","Fri","arizona-diamondbacks","toronto-blue-jays",337,83,28,307,1994,"Arizona Diamondbacks","ari","AZ","D-backs",109,13,16,0.448,"W 1",5.3,4.3,1,-0.5,0.5,"17-12",-4,"0-3","4-5","7-4","2-4","7-6","6-10","1-3","3-4","8-8","5-8","3-9","10-7","4-6","9-11","13-16",9071,5974,611,368,59913,1104,738,292,199,8347
6100294,"Regular Season",2024-04-29,2024-07-06,"7:15 PM","Sat","atlanta-braves","philadelphia-phillies",1034,205,57,1975,5529,"Atlanta Braves","atl","ATL","Braves",144,19,7,0.731,"W 1",5.7,3.9,1.8,-0.2,1.6,"17-9",2,"8-4","0-0","3-0","8-3","11-4","8-3","4-1","6-3","12-4","7-3","7-5","12-2","8-2","15-5","19-7",33230,17179,9470,735,88296,2054,1543,993,217,4823
6100298,"Regular Season",2024-04-29,2024-07-07,"1:35 PM","Sun","atlanta-braves","philadelphia-phillies",706,155,35,1350,3001,"Atlanta Braves","atl","ATL","Braves",144,19,7,0.731,"W 1",5.7,3.9,1.8,-0.2,1.6,"17-9",2,"8-4","0-0","3-0","8-3","11-4","8-3","4-1","6-3","12-4","7-3","7-5","12-2","8-2","15-5","19-7",33230,17179,9470,735,88296,2054,1543,993,217,4823
6100458,"Regular Season",2024-04-29,2024-07-09,"6:35 PM","Tue","baltimore-orioles","chicago-cubs",410,130,28,4024,2247,"Baltimore Orioles","bal","BAL","Orioles",110,17,10,0.63,"L 1",5.6,4.3,1.3,0.3,1.5,"17-10",0,"3-0","7-2","5-4","2-4","9-6","8-4","1-2","2-4","11-6","6-4","11-4","6-6","6-4","12-8","17-10",17773,5834,9509,18,40932,1421,727,1010,22,8701
6100463,"Regular Season",2024-04-29,2024-07-12,"7:05 PM","Fri","baltimore-orioles","new-york-yankees",448,177,45,4024,2086,"Baltimore Orioles","bal","BAL","Orioles",110,17,10,0.63,"L 1",5.6,4.3,1.3,0.3,1.5,"17-10",0,"3-0","7-2","5-4","2-4","9-6","8-4","1-2","2-4","11-6","6-4","11-4","6-6","6-4","12-8","17-10",17773,5834,9509,18,40932,1421,727,1010,22,8701
6100465,"Regular Season",2024-04-29,2024-07-11,"6:35 PM","Thu","baltimore-orioles","chicago-cubs",457,121,28,4024,2558,"Baltimore Orioles","bal","BAL","Orioles",110,17,10,0.63,"L 1",5.6,4.3,1.3,0.3,1.5,"17-10",0,"3-0","7-2","5-4","2-4","9-6","8-4","1-2","2-4","11-6","6-4","11-4","6-6","6-4","12-8","17-10",17773,5834,9509,18,40932,1421,727,1010,22,8701
6100470,"Regular Season",2024-04-29,2024-07-10,"6:35 PM","Wed","baltimore-orioles","chicago-cubs",442,129,33,4024,2548,"Baltimore Orioles","bal","BAL","Orioles",110,17,10,0.63,"L 1",5.6,4.3,1.3,0.3,1.5,"17-10",0,"3-0","7-2","5-4","2-4","9-6","8-4","1-2","2-4","11-6","6-4","11-4","6-6","6-4","12-8","17-10",17773,5834,9509,18,40932,1421,727,1010,22,8701
6100612,"Regular Season",2024-04-29,2024-07-09,"7:10 PM","Tue","boston-red-sox","oakland-athletics",1194,150,32,6504,4206,"Boston Red Sox","bos","BOS","Red Sox",111,16,13,0.552,"W 2",4.8,3.7,1.1,0.5,1.6,"18-11",-2,"0-3","2-5","9-4","5-1","5-8","11-5","1-3","4-4","13-9","3-4","6-11","10-2","6-4","10-10","16-13",25856,16548,1620,647,58466,1230,1051,409,260,9404
