"event_id","season_type","retrieve_date","date","time","day_of_week","home_team","away_team","new_listings","avg_price","lowest_price","highest_price","ticket_count","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income","temp","feels_like","pressure","humidity","dew_points","wind_speed","clouds","precip_chance","uv_index","aqi","carbon_monoxide","nitrogen_monoxide","nitrogen_dioxide","ozone","sulphur_dioxide","fine_particles","coarse_particles","ammonia"
6101354,"Regular Season",2024-05-12,2024-05-12,"1:10 PM","Sun","colorado-rockies","texas-rangers",410,47,16,134,1444,"Colorado Rockies","col","COL","Rockies",115,11,28,0.282,"W 3",3.8,5.6,-1.8,-0.3,-2.1,"13-26",-2,"0-6","1-5","5-9","5-8","8-12","3-16","1-3","3-8","8-19","3-9","6-12","5-16","4-6","7-13","9-21",33805,20800,5116,3969,79436,1381,1386,783,919,11916,51.53,50.09,1012,79,45.25,16.28,100,1,6.9,1.85714285714286,226.02,1.94285714285714,12.9771428571429,39.757,4.30857142857143,2.13714285714286,2.66428571428571,1.02285714285714
6101449,"Regular Season",2024-05-12,2024-05-12,"1:40 PM","Sun","detroit-tigers","houston-astros",216,68,22,189,510,"Detroit Tigers","det","DET","Tigers",116,20,19,0.513,"W 1",4.1,3.8,0.2,0,0.2,"21-18",-1,"2-4","10-6","3-6","5-3","9-10","11-9","3-2","7-8","14-17","6-2","10-13","10-6","4-6","10-10","14-16",14930,3932,9044,41,21180,1009,540,755,52,2377,65.64,64.49,1015,55,49.06,11.16,0,0,6.7,2.14285714285714,228.405714285714,1.32857142857143,5.62857142857143,42.3464,2.29142857142857,2.69857142857143,3.3,0.515714285714286
6101450,"Regular Season",2024-05-12,2024-05-13,"6:40 PM","Mon","detroit-tigers","miami-marlins",321,55,12,201,945,"Detroit Tigers","det","DET","Tigers",116,20,19,0.513,"W 1",4.1,3.8,0.2,0,0.2,"21-18",-1,"2-4","10-6","3-6","5-3","9-10","11-9","3-2","7-8","14-17","6-2","10-13","10-6","4-6","10-10","14-16",14930,3932,9044,41,21180,1009,540,755,52,2377,77.52,77,1009,43,53.55,13.38,91,1,6.73,1.66666666666667,246.58375,0.50875,12.3295833333333,42.3464,3.4525,4.2925,5.27833333333333,1.46541666666667
6101455,"Regular Season",2024-05-12,2024-05-14,"6:40 PM","Tue","detroit-tigers","miami-marlins",355,49,11,201,1078,"Detroit Tigers","det","DET","Tigers",116,20,19,0.513,"W 1",4.1,3.8,0.2,0,0.2,"21-18",-1,"2-4","10-6","3-6","5-3","9-10","11-9","3-2","7-8","14-17","6-2","10-13","10-6","4-6","10-10","14-16",14930,3932,9044,41,21180,1009,540,755,52,2377,57.27,55.62,1010,62,43.83,14.03,100,1,2.79,1.54166666666667,385.524166666667,8.61125,29.21125,42.3464,3.70208333333333,6.26333333333333,8.10416666666667,0.850416666666667
6101456,"Regular Season",2024-05-12,2024-05-15,"1:10 PM","Wed","detroit-tigers","miami-marlins",289,55,12,181,876,"Detroit Tigers","det","DET","Tigers",116,20,19,0.513,"W 1",4.1,3.8,0.2,0,0.2,"21-18",-1,"2-4","10-6","3-6","5-3","9-10","11-9","3-2","7-8","14-17","6-2","10-13","10-6","4-6","10-10","14-16",14930,3932,9044,41,21180,1009,540,755,52,2377,67.03,65.44,1012,43,44.26,12.15,0,0,7.44,1.25,230.9375,0.535416666666667,9.40208333333333,42.3464,2.36458333333333,2.5525,3.05291666666667,1.03375
6101616,"Regular Season",2024-05-12,2024-05-13,"7:10 PM","Mon","houston-astros","oakland-athletics",553,78,12,400,1829,"Houston Astros","hou","HOU","Astros",117,14,25,0.359,"L 1",4.3,5.2,-0.9,0.4,-0.5,"16-23",-2,"3-7","3-5","5-5","3-8","7-12","7-13","1-4","2-9","9-16","5-9","10-24","4-1","4-6","8-12","12-18",18892,8101,6526,811,70992,2647,1076,1631,258,14502,92.52,97.97,1005,47,69.55,16.93,84,1,7.05,1.54166666666667,376.484583333333,0.970416666666667,12.8283333333333,29.7605,4.39416666666667,7.91041666666667,19.425,0.5675
6101618,"Regular Season",2024-05-12,2024-05-14,"7:10 PM","Tue","houston-astros","oakland-athletics",506,96,33,711,1644,"Houston Astros","hou","HOU","Astros",117,14,25,0.359,"L 1",4.3,5.2,-0.9,0.4,-0.5,"16-23",-2,"3-7","3-5","5-5","3-8","7-12","7-13","1-4","2-9","9-16","5-9","10-24","4-1","4-6","8-12","12-18",18892,8101,6526,811,70992,2647,1076,1631,258,14502,88.68,87.51,1009,35,57.99,6.64,0,0.8,9.92,2.41666666666667,545.60125,12.7920833333333,25.7883333333333,29.7605,3.23125,13.3316666666667,16.4608333333333,1.38375
6101621,"Regular Season",2024-05-12,2024-05-15,"7:10 PM","Wed","houston-astros","oakland-athletics",625,80,14,400,2227,"Houston Astros","hou","HOU","Astros",117,14,25,0.359,"L 1",4.3,5.2,-0.9,0.4,-0.5,"16-23",-2,"3-7","3-5","5-5","3-8","7-12","7-13","1-4","2-9","9-16","5-9","10-24","4-1","4-6","8-12","12-18",18892,8101,6526,811,70992,2647,1076,1631,258,14502,90.03,90.39,1010,39,61.99,10.98,85,0.59,10.22,2.25,314.177083333333,4.22583333333333,19.6833333333333,29.7605,4.93291666666667,7.86083333333333,9.65666666666667,0.936666666666667
6101647,"Regular Season",2024-05-12,2024-05-16,"7:10 PM","Thu","houston-astros","oakland-athletics",655,89,17,649,2490,"Houston Astros","hou","HOU","Astros",117,14,25,0.359,"L 1",4.3,5.2,-0.9,0.4,-0.5,"16-23",-2,"3-7","3-5","5-5","3-8","7-12","7-13","1-4","2-9","9-16","5-9","10-24","4-1","4-6","8-12","12-18",18892,8101,6526,811,70992,2647,1076,1631,258,14502,83.05,87.69,1008,67,71.13,13.78,70,1,0.07,1.70588235294118,288.037647058824,0.645294117647059,14.3641176470588,29.7605,6.63764705882353,8.24470588235294,10.9882352941176,0.482941176470588
6102107,"Regular Season",2024-05-12,2024-05-16,"7:10 PM","Thu","los-angeles-dodgers","cincinnati-reds",854,479,136,115004,3103,"Los Angeles Dodgers","lan","LAD","Dodgers",119,27,14,0.659,"W 1",5.4,3.5,1.9,-0.2,1.7,"28-13",-1,"11-4","4-3","8-5","4-2","15-8","12-6","1-3","5-5","15-10","12-4","13-9","14-5","8-2","15-5","19-11",39709,10063,5465,6587,53278,2133,1055,702,834,4801,67.53,66.47,1013,53,50.14,10.25,43,0,9,2.41176470588235,504.999411764706,18.4435294117647,62.8564705882353,34.0724,9.85764705882353,17.5023529411765,32.61,2.92
6102417,"Regular Season",2024-05-12,2024-05-12,"1:10 PM","Sun","milwaukee-brewers","st-louis-cardinals",250,55,20,249,635,"Milwaukee Brewers","mil","MIL","Brewers",158,24,15,0.615,"W 3",5.1,4.2,0.9,0.1,1,"23-16",1,"3-0","11-5","1-2","9-8","10-7","14-8","2-0","8-4","21-12","3-3","11-12","13-3","6-4","11-9","18-12",35358,26683,2791,1580,54732,1187,1208,712,504,3443,74.43,73.45,1009,40,48.56,15.39,75,0.24,6.68,2,196.457142857143,0.235714285714286,1.46428571428571,43.0421,0.55,2.24285714285714,2.47714285714286,0.88
