"event_id","season_type","retrieve_date","date","time","day_of_week","home_team","away_team","new_listings","avg_price","lowest_price","highest_price","ticket_count","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income","temp","feels_like","pressure","humidity","dew_points","wind_speed","clouds","precip_chance","uv_index","aqi","carbon_monoxide","nitrogen_monoxide","nitrogen_dioxide","ozone","sulphur_dioxide","fine_particles","coarse_particles","ammonia"
6103617,"Regular Season",2024-05-15,2024-05-17,"7:15 PM","Fri","san-francisco-giants","colorado-rockies",990,142,27,8405,4248,"San Francisco Giants","sfn","SF","Giants",137,19,25,0.432,"L 2",3.8,4.9,-1.1,0,-1.1,"17-27",2,"5-8","4-2","8-11","2-4","11-10","8-15","1-2","5-6","15-18","4-7","1-11","18-14","4-6","8-12","14-16",28607,15278,1189,1196,164289,2221,1514,452,375,16291,62.62,61.54,1013,63,49.28,13.85,0,0,8.82,2,214.110416666667,0.381666666666667,4.81,37.7799,1.93625,2.985,7.89625,0.1925
6103618,"Regular Season",2024-05-15,2024-05-18,"1:05 PM","Sat","san-francisco-giants","colorado-rockies",808,175,41,5812,3526,"San Francisco Giants","sfn","SF","Giants",137,19,25,0.432,"L 2",3.8,4.9,-1.1,0,-1.1,"17-27",2,"5-8","4-2","8-11","2-4","11-10","8-15","1-2","5-6","15-18","4-7","1-11","18-14","4-6","8-12","14-16",28607,15278,1189,1196,164289,2221,1514,452,375,16291,60.73,59.59,1014,66,48.81,15.23,3,0,8.67,2,206.66875,0.319166666666667,4.19458333333333,37.7799,1.66458333333333,2.48125,7.83041666666667,0.194166666666667
6103619,"Regular Season",2024-05-15,2024-05-19,"1:05 PM","Sun","san-francisco-giants","colorado-rockies",800,119,21,5812,3026,"San Francisco Giants","sfn","SF","Giants",137,19,25,0.432,"L 2",3.8,4.9,-1.1,0,-1.1,"17-27",2,"5-8","4-2","8-11","2-4","11-10","8-15","1-2","5-6","15-18","4-7","1-11","18-14","4-6","8-12","14-16",28607,15278,1189,1196,164289,2221,1514,452,375,16291,60.62,59.2,1014,60,45.91,14,14,0,9,2,218.138823529412,0.112941176470588,3.57176470588235,37.7799,1.56411764705882,4.07,14.7211764705882,0.115294117647059
6103723,"Regular Season",2024-05-15,2024-05-15,"1:10 PM","Wed","seattle-mariners","kansas-city-royals",319,53,15,559,1306,"Seattle Mariners","sea","SEA","Mariners",136,23,20,0.535,"L 1",3.8,3.6,0.2,0.2,0.4,"22-21",1,"3-4","3-6","6-3","11-7","14-10","9-10","2-1","7-4","15-17","8-3","11-14","12-6","5-5","11-9","18-12",14469,7231,1448,357,60955,927,623,327,191,8599,68.5,67.55,1019,53,50.72,9.98,90,0,5.69,1.71428571428571,271.797142857143,2.83714285714286,11.6557142857143,47.6017,2.79285714285714,4.94428571428571,9.48285714285714,0.781428571428571
6103870,"Regular Season",2024-05-15,2024-05-17,"7:15 PM","Fri","st-louis-cardinals","boston-red-sox",1851,55,9,11504,10015,"St. Louis Cardinals","sln","STL","Cardinals",138,18,24,0.429,"W 3",3.6,4.7,-1.1,0.1,-1,"16-26",2,"5-6","1-6","6-7","6-5","6-11","12-13","1-4","5-6","13-18","5-6","4-13","14-11","3-7","9-11","12-18",2365,1114,908,50,59215,397,331,243,50,17411,64.71,65.39,1008,96,63.57,10.18,100,1,0.77,1.33333333333333,327.945,1.70333333333333,16.8691666666667,38.6297,4.35,8.21,9.41,0.3625
6103873,"Regular Season",2024-05-15,2024-05-18,"6:15 PM","Sat","st-louis-cardinals","boston-red-sox",1552,63,14,459,8316,"St. Louis Cardinals","sln","STL","Cardinals",138,18,24,0.429,"W 3",3.6,4.7,-1.1,0.1,-1,"16-26",2,"5-6","1-6","6-7","6-5","6-11","12-13","1-4","5-6","13-18","5-6","4-13","14-11","3-7","9-11","12-18",2365,1114,908,50,59215,397,331,243,50,17411,73.6,74.23,1004,76,65.77,10.11,96,1,4.13,2.54166666666667,453.11625,1.58666666666667,25.12125,38.6297,4.0275,20.59375,22.3354166666667,0.892083333333333
6103888,"Regular Season",2024-05-15,2024-05-19,"1:15 PM","Sun","st-louis-cardinals","boston-red-sox",1332,64,11,565,7082,"St. Louis Cardinals","sln","STL","Cardinals",138,18,24,0.429,"W 3",3.6,4.7,-1.1,0.1,-1,"16-26",2,"5-6","1-6","6-7","6-5","6-11","12-13","1-4","5-6","13-18","5-6","4-13","14-11","3-7","9-11","12-18",2365,1114,908,50,59215,397,331,243,50,17411,80.24,81.75,1013,57,63.82,7.81,43,0,0.33,2.23529411764706,405.256470588235,2.62411764705882,20.15,38.6297,2.44235294117647,15.2505882352941,17.9264705882353,1.43941176470588
6104203,"Regular Season",2024-05-15,2024-05-15,"7:05 PM","Wed","texas-rangers","cleveland-guardians",542,57,11,570,1626,"Texas Rangers","tex","TEX","Rangers",140,22,22,0.5,"L 5",4.8,4.5,0.2,-0.1,0.1,"23-21",-1,"2-1","5-4","8-9","7-8","10-11","12-11","2-0","7-4","15-15","7-7","9-9","13-13","4-6","10-10","14-16",21701,10326,6736,1566,45224,1523,979,1294,435,3852,85.95,87.01,1010,47,63.39,12.91,6,0,9.82,3,236.51,0.564285714285714,3.52,32.7502,3.55857142857143,7.29428571428571,8.07857142857143,0.817142857142857
6104206,"Regular Season",2024-05-15,2024-05-17,"7:05 PM","Fri","texas-rangers","los-angeles-angels",560,101,34,828,1852,"Texas Rangers","tex","TEX","Rangers",140,22,22,0.5,"L 5",4.8,4.5,0.2,-0.1,0.1,"23-21",-1,"2-1","5-4","8-9","7-8","10-11","12-11","2-0","7-4","15-15","7-7","9-9","13-13","4-6","10-10","14-16",21701,10326,6736,1566,45224,1523,979,1294,435,3852,83.62,83.39,1004,43,59.04,10.18,55,1,9.3,1.375,274.67875,0.316666666666667,10.3975,32.7502,1.17666666666667,4.4875,5.12791666666667,0.474166666666667
6104208,"Regular Season",2024-05-15,2024-05-18,"6:15 PM","Sat","texas-rangers","los-angeles-angels",806,99,22,570,2767,"Texas Rangers","tex","TEX","Rangers",140,22,22,0.5,"L 5",4.8,4.5,0.2,-0.1,0.1,"23-21",-1,"2-1","5-4","8-9","7-8","10-11","12-11","2-0","7-4","15-15","7-7","9-9","13-13","4-6","10-10","14-16",21701,10326,6736,1566,45224,1523,979,1294,435,3852,89.65,89.56,1009,38,60.78,7.49,19,0,9.45,1.66666666666667,349.225416666667,3.49958333333333,13.5029166666667,32.7502,1.08666666666667,4.32791666666667,5.76791666666667,1.27416666666667
6104210,"Regular Season",2024-05-15,2024-05-19,"1:35 PM","Sun","texas-rangers","los-angeles-angels",728,94,19,570,2592,"Texas Rangers","tex","TEX","Rangers",140,22,22,0.5,"L 5",4.8,4.5,0.2,-0.1,0.1,"23-21",-1,"2-1","5-4","8-9","7-8","10-11","12-11","2-0","7-4","15-15","7-7","9-9","13-13","4-6","10-10","14-16",21701,10326,6736,1566,45224,1523,979,1294,435,3852,90.07,94.73,1013,50,69.3,13.71,1,0,0.07,1.41176470588235,337.124705882353,0.558235294117647,11.3782352941176,32.7502,1.13705882352941,5.29470588235294,6.42117647058824,0.924117647058823
